ARMARIO	BKT	ALIADA
GOGNA_G1M02	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M23	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1C63	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M18	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1I07	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M15	BKT_GOIANIA_ONDACOM_CONDOMINIO	ONDACOM
GOGNA_G1I17	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1I12	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M08	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1I29	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1C59	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M04	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B33	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1C65	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_G1M07	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1N26	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1C46	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_W1901	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_G1I16	BKT_GOIANIA_ONDACOM_CONDOMINIO	ONDACOM
GOGNA_G1M19	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M32	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_G1N34	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A0B	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1A13	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A19	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A1E	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A1J	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1A1L	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1A20	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A25	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A44	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A46	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A49	BKT_GOIANIA_ABILITY	ABILITY
